"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Mar 13 14:12:35 UTC 2023","Mon Mar 13 14:12:35 UTC 2023","0","","Contact Us message: Sending the Contact Us message with valid credentials","","Contact Us message: Sending the Contact Us message with valid credentials","","",""
"passed","Mon Mar 13 14:12:37 UTC 2023","Mon Mar 13 14:12:38 UTC 2023","1741","","Contact Us message: Sending the Contact Us message with valid credentials","","Contact Us message: Sending the Contact Us message with valid credentials","Given I open the site ""/contact-us""","Given I open the site ""/contact-us""",""
"passed","Mon Mar 13 14:14:57 UTC 2023","Mon Mar 13 14:14:58 UTC 2023","1091","","Support Center search: Searching for results","","Support Center search: Searching for results","Then Search results showed for ""programming""","Then Search results showed for ""programming""",""
"passed","Mon Mar 13 14:14:13 UTC 2023","Mon Mar 13 14:14:13 UTC 2023","0","","Sign up: Sign up with invalid credentials","","Sign up: Sign up with invalid credentials","","",""
"passed","Mon Mar 13 14:12:31 UTC 2023","Mon Mar 13 14:12:35 UTC 2023","3840","","Contact Us message: Sending the Contact Us message with valid credentials","","Contact Us message: Sending the Contact Us message with valid credentials","When I fill out the Contact Us message form with valid credentials","When I fill out the Contact Us message form with valid credentials",""
"passed","Mon Mar 13 14:14:11 UTC 2023","Mon Mar 13 14:14:12 UTC 2023","1128","","Sign up: Sign up with invalid credentials","","Sign up: Sign up with invalid credentials","Given I open the site ""/sign-up""","Given I open the site ""/sign-up""",""
"passed","Mon Mar 13 14:13:49 UTC 2023","Mon Mar 13 14:13:50 UTC 2023","457","","Partnership message: Accepting cookies","","Partnership message: Accepting cookies","Given I accept cookies","Given I accept cookies",""
"passed","Mon Mar 13 14:13:57 UTC 2023","Mon Mar 13 14:13:59 UTC 2023","1882","","Partnership message: Sending the Partnership message with invalid credentials","","Partnership message: Sending the Partnership message with invalid credentials","Given I open the site ""/partnerships""","Given I open the site ""/partnerships""",""
"passed","Mon Mar 13 14:13:50 UTC 2023","Mon Mar 13 14:13:50 UTC 2023","1","","Partnership message: Accepting cookies","","Partnership message: Accepting cookies","","",""
"passed","Mon Mar 13 14:14:36 UTC 2023","Mon Mar 13 14:14:36 UTC 2023","0","","Sign up: Sign up with invalid credentials","","Sign up: Sign up with invalid credentials","","",""
"passed","Mon Mar 13 14:13:27 UTC 2023","Mon Mar 13 14:13:27 UTC 2023","3","","Login: Login with valid credentials","","Login: Login with valid credentials","","",""
"passed","Mon Mar 13 14:13:57 UTC 2023","Mon Mar 13 14:13:57 UTC 2023","197","","Partnership message: Sending the Partnership message with valid credentials","","Partnership message: Sending the Partnership message with valid credentials","Then Partnership message sended","Then Partnership message sended",""
